iter	Logloss
0	0.6751564465
1	0.6475417143
2	0.6281407383
3	0.609726547
4	0.5912582074
5	0.5822923931
6	0.5744929748
7	0.5608092164
8	0.5476924571
9	0.5405516495
10	0.5324905041
11	0.5249998694
12	0.5131660653
13	0.5059178164
14	0.4968434357
15	0.4930388381
16	0.4864780915
17	0.4795737066
18	0.4720213639
19	0.4687788632
20	0.4616943858
21	0.456242817
22	0.4511176598
23	0.4505439653
24	0.4460259714
25	0.4410289671
26	0.4408308541
27	0.4392938892
28	0.4367904062
29	0.4331420905
30	0.428008806
31	0.4237643636
32	0.4173663112
33	0.4149522925
34	0.4101815093
35	0.4035068742
36	0.4003057823
37	0.399828231
38	0.3975187234
39	0.3953461029
40	0.393431079
41	0.3898070065
42	0.3856576834
43	0.3848182807
44	0.3806388974
45	0.3784763055
46	0.3755023154
47	0.3753654259
48	0.3724500373
49	0.3696639424
50	0.3696475698
51	0.36783333
52	0.3667475464
53	0.3647354924
54	0.3646640889
55	0.3614823433
56	0.3596903909
57	0.3593365041
58	0.3585462429
59	0.3583674926
60	0.354173406
61	0.3509639508
62	0.3486390732
63	0.3468822534
64	0.3453467171
65	0.3440525371
66	0.3433733597
67	0.343372565
68	0.3432976076
69	0.343028201
70	0.3420690787
71	0.3404588819
72	0.3383579988
73	0.3355894208
74	0.335573214
75	0.3318377006
76	0.3303234322
77	0.3290709129
78	0.3259444407
79	0.3224842699
80	0.3197309702
81	0.3183421289
82	0.3166986089
83	0.3148176349
84	0.3141559519
85	0.3125033241
86	0.3096628793
87	0.3068978639
88	0.3062643283
89	0.3051559676
90	0.3032163161
91	0.3011789266
92	0.3008553967
93	0.3008341096
94	0.2999311068
95	0.2968190232
96	0.2950476102
97	0.2941040931
98	0.2933937076
99	0.292898932
